ko,sequence_count,full_f1,full_note,frag_f1,frag_note
K12745,14,1.0,no negative,1.0,
K12749,52,0.777778,,0.6,
K12750,131,0.846154,,0.894737,
K12751,313,0.816327,,0.65625,
K12753,75,0.857143,,0.857143,
K12754,59,0.875,,0.857143,
K12755,78,0.0,,0.285714,
K12756,63,0.909091,,0.5,
K12757,241,0.615385,,0.621622,
K12758,46,1.0,,0.857143,
K12760,1,1.0,no negative,0.5,
K12761,281,0.661017,,0.666667,
K12762,64,0.666667,,0.4,
K12763,130,0.941176,,0.848485,
K12764,2,1.0,,1.0,
K12765,88,0.8125,,0.758621,
K12766,26,0.666667,,0.75,
K12767,140,1.0,,0.933333,
K12768,21,1.0,,0.8,
K12769,107,0.833333,,0.444444,
K12770,22,0.571429,,0.0,
K12771,35,1.0,,0.571429,
K12772,39,0.666667,,0.5,
K12773,31,0.8,,0.5,
K12774,19,0.0,no positive,0.0,
K12775,19,1.0,,0.285714,
K12776,44,0.909091,,0.6,
K12777,22,0.75,,0.0,
K12778,619,0.908297,,0.811111,
K12779,23,1.0,,0.5,
K12780,111,0.684211,,0.780488,
K12781,16,0.333333,,0.0,
K12782,41,0.823529,,0.923077,
K12783,22,0.666667,,0.333333,
K12784,9,0.0,no positive,0.0,no positive
K12785,8,1.0,no negative,0.0,no positive
K12786,9,0.666667,,0.0,no positive
K12787,7,0.0,,0.0,no positive
K12788,6,1.0,,1.0,no negative
K12789,3,0.0,,1.0,no negative
K12790,18,0.571429,,0.0,no positive
K12791,188,0.955224,,0.90566,
K12792,123,0.974359,,0.928571,
K12793,87,0.769231,,1.0,
K12794,171,0.969697,,0.857143,
K12795,750,0.955631,,0.849057,
K12796,148,0.883721,,0.65,
K12797,78,1.0,no negative,1.0,
K12798,241,0.709677,,0.774194,
K12799,344,0.796296,,0.693878,
K12800,101,0.666667,,0.727273,
K12801,195,0.52,,0.52,
K12802,45,0.8,,0.875,
K12803,89,0.967742,,1.0,
K12804,302,0.965517,,0.795455,
K12805,182,0.771429,,0.4,
K12806,56,0.631579,,0.857143,
K12807,137,0.980392,,0.848485,
K12809,2,0.0,no negative,1.0,
K12810,8,1.0,,1.0,
K12811,517,0.995074,,0.932584,
K12812,248,0.857143,,0.831169,
K12813,453,0.97619,,0.954545,
K12814,35,0.833333,,0.933333,
K12815,479,0.965116,,0.917808,
K12816,460,0.966667,,0.960526,
K12817,510,0.957447,,0.88189,
K12818,984,0.948509,,0.856089,
K12819,554,0.962264,,0.918033,
K12820,361,0.924242,,0.933333,
K12821,661,0.956522,,0.837696,
K12822,459,0.906832,,0.827586,
K12823,1315,0.92549,,0.819005,
K12824,451,0.971098,,0.805755,
K12825,511,0.937853,,0.877698,
K12826,351,0.96063,,0.924528,
K12827,410,0.963415,,0.849057,
K12828,273,1.0,no negative,0.953488,
K12829,568,0.972973,,0.941176,
K12830,401,0.924051,,0.916667,
K12831,584,0.976744,,0.880503,
K12832,260,0.939759,,0.882353,
K12833,220,0.935065,,0.927536,
K12834,156,0.964286,,0.888889,
K12835,344,0.992126,,0.934783,
K12836,517,0.959596,,0.966292,
K12837,799,0.896057,,0.861925,
K12838,241,0.988764,,0.962025,
K12839,436,0.940476,,0.857143,
K12840,434,0.974684,,0.877193,
K12841,254,0.960784,,0.915663,
K12842,519,0.964824,,0.937931,
K12843,556,0.981481,,0.878049,
K12844,441,0.963415,,0.900901,
K12845,291,0.990826,,0.950495,
K12846,435,0.892655,,0.68254,
K12847,443,0.976744,,0.902778,
K12848,277,0.839286,,0.744186,
K12849,434,0.968553,,0.896,
K12850,430,0.97006,,0.929577,
K12851,36,0.727273,,0.75,
K12852,280,0.970297,,0.897436,
K12853,30,1.0,,0.666667,
K12854,321,0.919355,,0.834783,
K12855,353,0.985915,,0.919355,
K12856,157,0.90566,,0.897959,
K12857,361,0.955882,,0.782609,
K12858,448,0.969325,,0.944,
K12859,200,0.952381,,0.965517,
K12860,512,0.975124,,0.842105,
K12861,414,0.910256,,0.740741,
K12862,480,0.978495,,0.919255,
K12863,397,0.958333,,0.827068,
K12864,433,0.944099,,0.913043,
K12865,393,0.912752,,0.754386,
K12866,228,0.846154,,0.653061,
K12867,428,0.981132,,0.893617,
K12868,501,0.962567,,0.812121,
K12869,498,0.974619,,0.913043,
K12870,430,0.955414,,0.87931,
K12871,601,0.92891,,0.802198,
K12872,381,0.9,,0.795699,
K12873,247,0.968421,,0.795699,
K12874,409,0.987179,,0.912281,
K12875,577,0.931034,,0.810458,
K12876,411,0.931507,,0.902256,
K12877,211,0.944444,,0.827586,
K12878,427,0.955975,,0.904348,
K12879,515,0.989691,,0.934132,
K12880,330,0.943089,,0.846154,
K12881,1134,0.925301,,0.770538,
K12882,413,0.903226,,0.828829,
K12883,533,0.951872,,0.939024,
K12884,157,0.892857,,0.909091,
K12885,69,0.72,,0.625,
K12886,258,1.0,,0.896552,
K12887,94,0.894737,,0.722222,
K12888,95,0.972973,,0.88,
K12889,14,1.0,,0.571429,
K12890,539,0.93401,,0.897727,
K12891,476,0.890244,,0.921875,
K12892,127,0.615385,,0.535211,
K12893,925,0.928177,,0.811881,
K12894,118,1.0,,0.88,
K12895,150,0.811594,,0.5625,
K12896,799,0.870504,,0.900433,
K12897,668,0.882812,,0.792453,
K12898,504,0.9,,0.869565,
K12899,84,0.967742,,0.846154,
K12900,609,0.92823,,0.740331,
K12917,3,0.0,no positive,1.0,
K12920,4,0.666667,,1.0,
K12929,1,1.0,,0.0,no positive
K12930,150,0.45614,,0.384615,
K12933,9,0.0,no positive,0.0,no positive
K12934,1,1.0,no negative,1.0,
K12935,2,0.0,,0.0,no positive
K12938,9,0.666667,,0.0,
K12940,444,0.976744,,0.775862,
K12941,840,0.948328,,0.913386,
K12942,1062,0.940887,,0.906344,
K12943,137,0.820513,,0.8,
K12944,98,0.916667,,0.875,
K12945,217,0.680412,,0.611111,
K12946,596,0.965812,,0.92823,
K12947,472,0.918605,,0.773723,
K12948,497,0.893617,,0.754967,
K12949,16,0.857143,,0.0,
K12950,119,0.545455,,0.468085,
K12951,139,0.837209,,0.75,
K12952,864,0.988235,,0.925267,
K12953,110,0.653061,,0.416667,
K12954,263,0.970297,,0.927536,
K12955,224,0.875,,0.805195,
K12956,43,0.909091,,1.0,
K12957,275,0.921569,,0.906667,
K12958,359,0.910448,,0.877193,
K12959,228,0.5,,0.431818,
K12960,2607,0.77074,,0.687575,
K12961,134,0.655172,,0.857143,
K12962,203,0.95,,0.972973,
K12963,231,0.879121,,0.84507,
K12964,301,0.675,,0.62069,
K12965,96,0.9375,,0.896552,
K12966,57,0.857143,,0.8,
K12967,79,0.962963,,0.9,
K12968,232,0.930233,,0.945946,
K12969,18,1.0,,0.666667,
K12970,1,1.0,,1.0,no negative
K12971,3,0.0,no positive,,no sample
K12972,1429,0.90493,,0.781377,
K12973,232,0.909091,,0.928571,
K12974,104,0.969697,,0.782609,
K12975,107,0.926829,,0.9375,
K12976,760,0.6,,0.479263,
K12977,12,1.0,,0.0,
K12978,271,0.609524,,0.590164,
K12979,269,1.0,,0.939759,
K12980,68,0.833333,,0.777778,
K12981,19,0.666667,,0.666667,
K12982,401,0.959459,,0.895238,
K12983,3,0.0,no positive,0.0,no positive
K12984,226,0.804348,,0.481481,
K12985,8,0.0,,0.0,
K12986,4,1.0,,0.666667,
K12987,35,0.833333,,1.0,
K12988,83,0.636364,,0.444444,
K12989,227,0.930233,,0.865672,
K12990,524,0.770732,,0.521739,
K12991,94,0.969697,,0.956522,
K12992,3,0.0,,0.0,no positive
K12993,9,0.666667,,0.0,no positive
K12994,8,0.0,no positive,0.0,no positive
K12995,5,,no sample,0.0,
K12996,124,0.791667,,0.869565,
K12997,49,1.0,,0.923077,
K12998,29,0.888889,,1.0,
K12999,311,0.912281,,0.897959,
K13000,3,,no sample,,no sample
K13001,10,0.571429,,0.666667,
K13002,27,0.176471,,0.333333,
K13003,2,1.0,,1.0,
K13004,4,0.0,no positive,0.0,no positive
K13005,31,0.333333,,0.25,
K13006,44,0.705882,,0.5,
K13007,274,0.921569,,0.787879,
K13008,1,0.5,,0.5,
K13009,1,0.0,,1.0,
K13010,240,0.617284,,0.540541,
K13011,9,1.0,no negative,0.0,no positive
K13012,548,0.8125,,0.552941,
K13013,29,0.909091,,0.571429,
K13014,302,1.0,,0.909091,
K13015,1104,0.978723,,0.912,
K13016,245,0.989691,,0.885714,
K13017,818,0.810651,,0.757143,
K13018,942,0.861538,,0.798851,
K13019,411,0.91954,,0.9,
K13020,737,0.521246,,0.504425,
K13021,481,0.535885,,0.506494,
K13022,192,0.986301,,0.983607,
K13023,366,0.756098,,0.619048,
K13024,733,0.982456,,0.910714,
K13025,220,0.921053,,0.967742,
K13026,421,0.959459,,0.849558,
K13027,39,0.8,,1.0,
K13028,123,0.904762,,0.782609,
K13029,72,0.866667,,0.727273,
K13030,17,0.857143,,0.666667,
K13031,23,1.0,,0.0,
K13032,14,0.666667,,0.666667,
K13033,7,1.0,,1.0,
K13034,75,1.0,,0.785714,
K13035,132,1.0,,0.758621,
K13037,7,0.0,,0.0,
K13038,4513,0.995516,,0.935696,
K13039,144,0.6,,0.8,
K13040,306,0.818182,,0.886076,
K13041,194,0.852941,,0.758621,
K13042,10,1.0,,1.0,
K13043,287,1.0,no negative,0.949495,
K13044,274,0.93617,,0.8,
K13045,33,0.857143,,0.8,
K13046,162,0.722222,,0.709677,
K13047,92,0.571429,,0.8,
K13048,29,0.444444,,0.0,
K13049,709,0.884058,,0.849741,
K13050,200,0.972973,,0.962963,
K13051,2204,0.945848,,0.902579,
K13052,937,0.731861,,0.599251,
K13053,396,0.871795,,0.84,
K13054,314,0.888889,,0.860465,
K13055,77,0.9,,0.7,
K13056,81,0.928571,,0.72,
K13057,259,0.989474,,0.903226,
K13058,35,0.666667,no negative,0.8,
K13059,23,0.666667,,0.8,
K13060,54,0.842105,,0.875,
K13061,151,0.615385,,0.583333,
K13062,36,1.0,no negative,0.571429,
K13063,394,0.993631,,0.944,
K13064,13,1.0,,1.0,
K13065,1843,0.513761,,0.428769,
K13065+K27987,32,0.833333,,,
K13066,760,0.792593,,0.745247,
K13067,4,0.0,no positive,0.0,no positive
K13068,6,0.0,,0.4,
K13069,487,0.639456,,0.458015,
K13070,4,1.0,,0.0,no positive
K13071,86,0.827586,,1.0,
K13072,270,0.843137,,0.835165,
K13073,685,0.610932,,0.5,
K13074,72,0.814815,,0.875,
K13075,795,0.403141,,0.272966,
K13076,174,0.939394,,0.912281,
K13077,5,0.0,no positive,0.0,no positive
K13080,12,1.0,,1.0,
K13081,122,0.958333,,0.875,
K13082,197,0.712329,,0.707692,
K13083,129,0.913043,,0.947368,
K13084,313,0.967213,,0.808511,
K13085,34,0.833333,,0.666667,
K13086,32,0.909091,,0.833333,
K13087,30,0.727273,,0.153846,
K13088,93,0.305085,,0.857143,
K13089,141,0.962963,,0.930233,
K13090,166,1.0,no negative,0.875,
K13091,678,0.980843,,0.957346,
K13092,294,0.920354,,0.8,
K13093,700,0.95203,,0.894977,
K13094,563,0.893805,,0.832215,
K13095,700,0.97318,,0.877551,
K13096,557,0.919431,,0.753846,
K13097,200,0.931507,,0.888889,
K13098,424,0.621951,,0.764706,
K13099,591,0.956897,,0.822222,
K13100,765,0.950166,,0.904564,
K13101,519,0.955224,,0.881988,
K13102,584,0.969432,,0.877778,
K13103,560,0.967442,,0.931034,
K13104,548,0.961905,,0.851351,
K13105,494,0.882979,,0.623188,
K13106,828,0.946372,,0.726368,
K13107,775,0.960526,,0.896266,
K13108,646,0.92887,,0.911111,
K13109,329,0.966102,,0.883721,
K13110,441,0.929412,,0.901408,
K13111,198,0.909091,,0.9,
K13112,191,0.972222,,0.833333,
K13113,202,0.8,,0.714286,
K13114,416,0.91018,,0.851064,
K13115,590,0.95279,,0.815642,
K13116,289,0.971963,,0.924731,
K13117,395,0.95,,0.905983,
K13118,531,0.901961,,0.821918,
K13119,377,0.951724,,0.851064,
K13120,612,0.953975,,0.738095,
K13121,494,0.971098,,0.954248,
K13122,388,0.950355,,0.833333,
K13123,625,0.95122,,0.870466,
K13124,435,0.933333,,0.863636,
K13125,475,0.950276,,0.87218,
K13126,1600,0.914676,,0.831014,
K13127,641,0.835443,,0.838384,
K13128,538,0.898551,,0.884615,
K13129,460,0.892655,,0.870968,
K13130,481,0.891304,,0.692308,
K13131,379,0.901235,,0.896,
K13131+K24733,2,0.0,no positive,,
K13132,200,0.962963,,0.892857,
K13133,325,0.931298,,0.857143,
K13134,338,0.913386,,0.831683,
K13135,242,0.868421,,0.769231,
K13136,378,0.937063,,0.666667,
K13137,387,0.965035,,0.878505,
K13138,275,0.970874,,0.94382,
K13139,218,0.97561,,0.952381,
K13140,340,0.935484,,0.860465,
K13141,354,0.936508,,0.911111,
K13142,235,0.840909,,0.857143,
K13143,287,0.892562,,0.866667,
K13144,334,0.935484,,0.810811,
K13145,238,0.966292,,0.851852,
K13146,289,0.970874,,0.904762,
K13147,225,0.942529,,0.75,
K13148,290,0.981481,,0.958333,
K13149,270,0.962264,,0.883117,
K13150,455,0.795918,,0.711538,
K13151,494,0.927374,,0.899225,
K13152,426,0.944785,,0.791045,
K13153,501,0.878613,,0.642336,
K13154,300,0.934426,,0.927273,
K13155,381,0.970588,,0.899083,
K13156,424,0.871795,,0.833333,
K13157,417,0.945455,,0.839286,
K13158,91,0.764706,,0.5,
K13159,315,0.92437,,0.898876,
K13160,77,0.96,,0.571429,
K13161,337,0.826923,,0.681818,
K13162,54,0.8,,0.769231,
K13163,260,0.878505,,0.739726,
K13164,241,0.87234,,0.69697,
K13165,281,0.93913,,0.883117,
K13166,109,0.974359,no negative,0.9375,
K13167,243,0.957447,,0.90411,
K13168,349,0.957143,,0.827586,
K13169,573,0.933333,,0.872093,
K13170,232,0.808989,,0.853659,
K13171,504,0.848485,,0.794118,
K13172,349,0.692913,,0.540541,
K13173,380,0.933333,,0.890625,
K13174,498,0.900585,,0.857143,
K13175,337,0.945736,,0.821429,
K13176,336,0.943089,,0.724638,
K13177,234,1.0,,0.892308,
K13178,177,0.777778,,0.774194,
K13179,880,0.939828,,0.900662,
K13180,53,0.875,,0.705882,
K13181,574,0.982609,,0.965517,
K13182,37,0.333333,,0.8,
K13183,20,0.666667,,0.0,
K13184,307,0.957983,,0.882353,
K13185,247,0.968421,,0.921053,
K13186,41,0.571429,,0.444444,
K13187,394,0.861111,,0.816667,
K13188,341,0.880597,,0.702128,
K13189,96,0.864865,,0.818182,
K13190,316,0.991736,,0.96,
K13191,220,0.790123,,0.773333,
K13192,409,0.792683,,0.725664,
K13193,141,0.926829,,0.785714,
K13194,505,0.959184,,0.911565,
K13195,549,0.324324,,0.427861,
K13196,297,0.821053,,0.804878,
K13197,55,0.869565,,0.842105,
K13198,122,0.944444,,0.969697,
K13199,841,0.893617,,0.765625,
K13200,109,1.0,,0.875,
K13201,625,0.796813,,0.666667,
K13202,272,0.990099,,0.987013,
K13203,407,0.965517,,0.836364,
K13204,92,0.487805,,0.380952,
K13205,546,0.902564,,0.814286,
K13206,614,0.944,,0.833333,
K13207,899,0.877612,,0.815385,
K13208,296,0.895833,,0.837209,
K13209,114,0.848485,,0.75,
K13210,812,0.944625,,0.8659,
K13211,449,0.89441,,0.776699,
K13212,172,0.625,,0.459016,
K13213,151,0.754098,,0.785714,
K13214,83,0.928571,,0.923077,
K13215,150,0.893617,,0.648649,
K13216,321,0.951613,,0.977273,
K13217,774,0.924138,,0.885845,
K13218,244,0.817204,,0.724138,
K13219,352,0.870229,,0.844828,
K13220,542,0.90099,,0.804734,
K13221,296,0.892562,,0.813953,
K13222,39,0.8,,0.727273,
K13223,6,0.0,,1.0,
K13224,6,0.0,no positive,0.0,
K13225,5,0.0,no positive,0.0,
K13226,3,0.0,no positive,,no sample
K13227,48,0.521739,,0.736842,
K13229,13,0.5,,0.0,no positive
K13230,1,0.0,,0.0,no positive
K13232,2,0.0,no positive,0.0,no positive
K13233,8,0.0,,0.0,no positive
K13234,7,0.0,,0.0,no positive
K13236,229,0.91358,,0.820513,
K13237,494,0.911111,,0.831169,
K13238,529,0.939891,,0.953488,
K13239,650,0.9,,0.873096,
K13240,301,0.916667,,0.891304,
K13241,150,0.980392,,0.941176,
K13242,60,0.8,,0.823529,
K13243,12,0.5,,0.666667,
K13244,5,0.0,,0.0,no positive
K13245,21,0.75,,0.666667,
K13246,13,0.5,,0.222222,
K13247,402,0.926174,,0.888889,
K13248,760,0.965753,,0.899598,
K13249,483,0.945055,,0.860606,
K13250,406,0.877698,,0.703297,
K13251,137,0.981132,,0.888889,
K13252,79,0.965517,,0.88,
K13254,397,0.959459,,0.947368,
K13255,383,0.704403,,0.732673,
K13256,514,0.825243,,0.688172,
K13257,19,0.5,no negative,0.75,
K13258,30,0.25,,0.444444,
K13259,28,0.5,,0.181818,
K13260,327,0.782609,,0.606742,
K13261,2,0.666667,,0.666667,
K13262,87,0.928571,,0.583333,
K13263,8,1.0,,1.0,
K13264,13,0.307692,,0.0,
K13265,21,0.8,,0.727273,
K13266,4,0.0,no positive,0.0,no positive
K13267,32,0.545455,,0.571429,
K13269,31,0.533333,,0.75,
K13272,70,0.666667,,0.842105,
K13273,407,0.965986,,0.899225,
K13274,266,0.507042,,0.537313,
K13275,181,0.851064,,0.869565,
K13276,101,0.894737,,0.689655,
K13277,155,0.409091,,0.375,
K13278,614,0.937759,,0.860215,
K13279,310,0.876033,,0.818182,
K13280,2288,0.777101,,0.715719,
K13281,725,0.928328,,0.844828,
K13282,914,0.819945,,0.817276,
K13283,663,0.703072,,0.538813,
K13284,10,0.0,,1.0,
K13285,93,0.941176,,0.625,
K13286,31,0.714286,,0.5,
K13287,92,0.72,,0.375,
K13288,2313,0.978214,,0.91465,
K13289,643,0.834008,,0.827586,
K13290,29,0.666667,,0.571429,
K13291,474,0.913295,,0.916667,
K13292,5547,0.976407,,0.933198,
K13293,879,0.916944,,0.899598,
K13294,16,0.666667,,0.8,
K13295,424,0.907895,,0.836364,
K13296,134,1.0,,0.974359,
K13297,181,0.444444,,0.311111,
K13298,306,0.894737,,0.891304,
K13299,364,0.861538,,0.790698,
K13300,211,0.767123,,0.815789,
K13301,153,0.964286,,0.888889,
K13302,172,0.961538,,0.938776,
K13303,398,0.747826,,0.733333,
K13304,117,0.933333,,0.914286,
K13305,113,0.918919,,0.761905,
K13307,17,0.25,,0.0,
K13308,31,0.75,,0.588235,
K13309,22,1.0,,1.0,no negative
K13310,31,0.0,,0.0,
K13311,62,0.6,,0.555556,
K13312,7,0.0,no positive,0.0,no positive
K13313,13,0.285714,,0.0,
K13315,61,0.444444,,0.6,
K13316,67,0.88,,0.842105,
K13317,33,0.705882,,0.666667,
K13318,32,0.666667,,0.333333,
K13322,7,1.0,,1.0,no negative
K13326,6,0.0,no positive,0.0,no positive
K13327,176,0.815789,,0.784314,
K13328,78,0.967742,,0.96,
K13329,26,0.8,,0.8,
K13330,7,0.0,no positive,1.0,
K13333,360,0.978102,,0.865979,
K13334,89,0.727273,,0.727273,
K13335,538,0.92093,,0.807018,
K13336,538,0.951923,,0.846715,
K13337,589,0.974138,,0.913462,
K13338,612,0.946058,,0.88172,
K13339,590,0.962025,,0.740331,
K13340,254,0.886364,,0.857143,
K13341,427,0.902439,,0.8,
K13342,678,0.984962,,0.880734,
K13343,638,0.907631,,0.78,
K13344,625,0.943548,,0.873786,
K13345,551,0.953704,,0.832298,
K13346,674,0.951311,,0.777143,
K13347,637,0.9163,,0.831579,
K13348,2234,0.888377,,0.828205,
K13349,452,0.882759,,0.807339,
K13350,263,0.989691,,0.891566,
K13351,195,0.972973,,0.952381,
K13352,419,0.779661,,0.711409,
K13353,389,0.930556,,0.837607,
K13354,659,0.794521,,0.780303,
K13355,498,0.95,,0.874172,
K13356,3804,0.937959,,0.865086,
K13357,34,0.923077,,0.666667,
K13358,299,0.761905,,0.709677,
K13359,62,0.96,,0.846154,
K13360,53,0.642857,,0.625,
K13361,162,0.830189,,0.888889,
K13362,208,0.921053,,0.711111,
K13363,189,0.920635,,0.736842,
K13364,43,0.857143,,0.727273,
K13365,270,0.906977,,0.916667,
K13366,364,0.928,,0.808989,
K13367,68,1.0,,0.8,
K13368,233,0.96,,0.763636,
K13369,124,0.666667,,0.75,
K13370,446,0.873418,,0.806202,
K13371,1,1.0,,0.5,
K13372,2,1.0,,1.0,no negative
K13373,235,1.0,,0.975,
K13374,28,0.909091,,0.75,
K13375,184,0.90411,,0.763636,
K13376,103,1.0,,0.96,
K13377,75,1.0,,0.9,
K13378,406,0.975904,,0.87218,
K13379,253,0.978723,,0.90411,
K13380,44,1.0,no negative,1.0,
K13381,37,0.727273,,0.571429,
K13382,3,0.0,,,no sample
K13383,25,0.857143,,0.0,
K13384,12,1.0,,0.666667,
K13385,3,0.0,,0.666667,
K13386,13,0.666667,,0.8,
K13390,34,0.285714,,0.5,
K13391,1,1.0,,1.0,
K13392,1,1.0,,0.666667,
K13393,2,0.0,no positive,0.0,no negative
K13394,4,0.0,no positive,0.0,no positive
K13395,28,0.5,,0.0,
K13396,7,1.0,,0.5,
K13397,36,0.8,,0.8,
K13401,17,0.857143,,0.5,
K13402,124,0.979592,,0.947368,
K13403,361,0.942857,,0.929293,
K13404,4,1.0,,0.666667,
K13407,37,1.0,,0.8,
K13408,584,0.945946,,0.841379,
K13409,568,0.972477,,0.895522,
K13411,485,0.972973,,0.93617,
K13412,2607,0.950298,,0.884848,
K13413,156,0.982456,,0.909091,
K13414,176,0.628571,,0.707692,
K13415,163,0.6,,0.590909,
K13416,180,0.5625,,0.172414,
K13417,22,0.0,no positive,0.0,
K13418,78,0.526316,,0.56,
K13419,104,0.941176,,0.782609,
K13420,546,0.365449,,0.25618,
K13421,631,0.961702,,0.885057,
K13422,262,0.729167,,0.658824,
K13423,14,1.0,,1.0,
K13424,294,0.932203,,0.804124,
K13425,291,0.437956,,0.336,
K13426,99,0.702703,,0.666667,
K13427,94,0.969697,,0.928571,
K13428,19,0.8,,0.8,
K13429,250,0.819048,,0.790698,
K13430,181,0.57971,,0.392857,
K13431,538,0.990291,,0.925714,
K13432,39,0.714286,,0.666667,
K13433,144,0.810811,,0.846154,
K13434,134,0.744186,,0.444444,
K13435,12,0.444444,,0.285714,
K13436,298,0.756303,,0.652174,
K13437,2,0.0,no positive,0.0,
K13438,202,0.857143,,0.901408,
K13439,20,0.571429,,0.0,
K13441,8,1.0,,0.0,no positive
K13442,92,0.923077,,0.956522,
K13443,1441,0.841379,,0.698113,
K13444,1935,0.866295,,0.708978,
K13445,1,0.0,,0.666667,
K13447,583,0.879377,,0.851485,
K13448,3679,0.83004,,0.718174,
K13449,1170,0.712946,,0.631313,
K13450,23,1.0,,0.5,
K13451,8,1.0,,1.0,
K13452,10,0.0,,0.8,
K13453,12,0.222222,,0.0,no positive
K13454,2,1.0,,0.666667,
K13455,7,1.0,,0.666667,
K13456,410,0.895105,,0.752475,
K13457,1540,0.558214,,0.398714,
K13458,116,0.977778,,0.952381,
K13459,953,0.355805,,0.1875,
K13460,13,0.0,,0.666667,
K13461,17,0.75,,0.285714,
K13462,109,1.0,no negative,0.962963,
K13463,175,1.0,,0.923077,
K13464,1166,0.884876,,0.759644,
K13466,2797,0.599042,,0.548094,
K13467,1,1.0,,1.0,
K13469,1,1.0,,1.0,
K13472,133,0.892857,,0.914286,
K13473,12,0.333333,,0.0,
K13475,33,0.631579,,0.6,
K13478,2,0.666667,,0.666667,
K13479,215,0.615385,,0.52381,
K13480,39,1.0,,0.352941,
K13481,1051,0.992665,,0.920128,
K13482,866,0.985163,,0.953125,
K13483,1718,0.98963,,0.928,
K13484,193,0.896552,,0.837209,
K13485,762,0.885017,,0.857143,
K13486,308,0.991736,,0.893204,
K13487,235,0.813559,,0.871795,
K13488,295,0.94,,0.810127,
K13489,280,0.962963,,0.883117,
K13490,226,0.987952,,0.862745,
K13491,204,0.958904,,0.892857,
K13493,16,0.6,,0.5,
K13494,2,0.0,no positive,0.0,no positive
K13495,667,0.937759,,0.752688,
K13496,749,0.761905,,0.704981,
K13497,105,1.0,no negative,0.875,
K13498,498,0.984293,,0.965517,
K13499,409,0.965035,,0.912621,
K13500,21,0.857143,,0.666667,
K13501,102,0.930233,,0.903226,
K13502,132,0.790698,,0.789474,
K13503,181,0.941176,,1.0,
K13504,436,0.786667,,0.740157,
K13505,134,0.594595,,0.594595,
K13506,572,0.945946,,0.888889,
K13507,308,0.859259,,0.804348,
K13508,812,0.920354,,0.877193,
K13509,779,0.900621,,0.823529,
K13510,882,0.952096,,0.933824,
K13511,701,0.897638,,0.871795,
K13512,136,0.981132,,0.926829,
K13513,497,0.946237,,0.883117,
K13514,235,0.923077,,0.84375,
K13515,311,0.929134,,0.932039,
K13516,346,0.963504,,0.923077,
K13517,459,0.872928,,0.87218,
K13519,286,0.929293,,0.8,
K13520,1,1.0,,1.0,
K13521,71,0.9,,0.6,
K13522,262,0.958333,,0.84507,
K13523,601,0.969957,,0.896175,
K13524,518,0.974874,,0.946108,
K13525,866,0.828571,,0.776632,
K13526,605,0.792952,,0.732984,
K13527,410,0.987654,,0.930233,
K13528,325,0.933333,,0.816327,
K13529,1337,0.96124,,0.89418,
K13530,344,0.905983,,0.853933,
K13531,287,0.95122,,0.885246,
K13532,199,0.492308,,0.426667,
K13533,387,0.45098,,0.379747,
K13534,215,0.866667,,0.883721,
K13535,182,0.898551,,0.867925,
K13536,183,0.842105,,0.690909,
K13537,15,1.0,,0.5,
K13538,8,0.666667,,0.0,no positive
K13539,328,0.95,,0.902439,
K13540,323,1.0,no negative,0.970297,
K13541,460,0.967391,,0.95302,
K13542,1162,0.978923,,0.919463,
K13543,119,0.823529,,0.842105,
K13544,17,1.0,,0.666667,
K13545,142,0.96,,0.909091,
K13546,32,0.6,,0.4,
K13547,25,0.25,,0.444444,
K13548,29,0.5,,0.0,
K13550,16,0.5,,0.75,
K13554,3,0.0,,,no sample
K13555,4,0.666667,,0.666667,
K13556,5,1.0,,1.0,
K13557,3,0.0,,1.0,no negative
K13566,2222,0.851728,,0.823529,
K13567,73,0.88,,0.952381,
K13568,80,1.0,,0.888889,
K13570,468,0.98913,,0.955056,
K13571,374,0.972222,,0.845361,
K13572,700,0.669456,,0.537931,
K13573,659,0.878431,,0.765101,
K13574,194,0.88,,0.884615,
K13575,191,0.942857,,0.931034,
K13576,132,0.952381,,0.933333,
K13577,561,0.934579,,0.852071,
K13578,281,0.898876,,0.788732,
K13580,256,0.957447,,0.725,
K13581,444,0.974684,,0.953846,
K13582,238,0.947368,,0.857143,
K13583,664,0.956863,,0.818182,
K13584,269,0.853933,,0.846154,
K13585,49,0.842105,,0.5,
K13586,64,0.857143,,1.0,no negative
K13587,1026,0.405983,,0.328889,
K13588,512,0.934673,,0.887417,
K13589,281,0.758621,,0.688525,
K13590,1393,0.85913,,0.760563,
K13591,52,0.947368,,1.0,
K13592,356,0.924242,,0.888889,
K13593,156,0.966667,,0.918919,
K13594,104,0.555556,,0.714286,
K13596,248,0.826087,,0.767123,
K13598,1167,0.976035,,0.860335,
K13599,962,0.962567,,0.851351,
K13600,99,1.0,no negative,1.0,
K13601,30,1.0,,1.0,
K13602,30,1.0,,0.888889,no negative
K13603,30,1.0,,0.8,
K13604,31,1.0,,1.0,
K13605,39,0.857143,,0.8,
K13606,206,0.974359,,0.96875,
K13607,29,0.666667,,0.5,
K13609,347,0.970588,,0.921739,
K13610,19,0.666667,,0.0,
K13611,20,0.666667,,0.4,
K13612,21,0.666667,,0.25,
K13613,28,0.5,,0.125,
K13614,28,0.909091,,0.222222,
K13615,11,0.5,,0.0,no positive
K13616,304,0.904762,,0.820513,
K13617,548,0.946341,,0.869048,
K13618,197,0.96875,,0.961538,
K13619,317,0.945455,,0.828283,
