ko,sequence_count,full_f1,full_note,frag_f1,frag_note
K00701,138,0.809524,,0.625,
K00702,283,0.787234,,0.686567,
K00703,3559,0.947063,,0.874327,
K00704,57,0.9,,0.857143,
K00705,3005,0.957983,,0.907772,
K00705+K06044,62,0.952381,,,
K00706,223,0.974359,,0.943396,
K00709,292,0.88,,0.8,
K00710,4223,0.963781,,0.89881,
K00712,329,0.634615,,0.55814,
K00713,29,0.571429,,0.5,
K00714,339,0.948276,,0.847826,
K00715,186,0.962963,,0.727273,
K00716,126,0.789474,,0.72,
K00717,418,0.929936,,0.862385,
K00718,886,0.892128,,0.826255,
K00719,105,0.903226,,0.952381,
K00720,903,0.877193,,0.703125,
K00721,3089,0.747443,,0.698444,
K00722,395,0.9,,0.93578,
K00725,243,0.917647,,0.885714,
K00726,519,0.969697,,0.954839,
K00727,437,0.731034,,0.705882,
K00728,2313,0.935378,,0.835556,
K00729,708,0.875912,,0.835979,
K00730,55,0.571429,,0.666667,
K00731,1293,0.926531,,0.882793,
K00733,320,0.99187,,0.918367,
K00734,321,0.977099,,0.875,
K00735,126,0.864865,,0.9375,
K00736,553,0.980392,,0.848485,
K00737,734,0.875502,,0.763006,
K00738,555,0.936585,,0.940397,
K00739,77,1.0,,0.833333,
K00741,345,0.992248,,0.87234,
K00742,338,0.86747,,0.735632,
K00743,83,0.857143,,0.666667,
K00744,187,0.985915,,0.925926,
K00746,347,0.976744,,0.918367,
K00747,256,0.932039,,0.741935,
K00748,2766,0.986351,,0.910849,
K00749,108,1.0,no negative,0.823529,
K00750,777,0.854167,,0.818605,
K00752,422,0.768293,,0.743363,
K00753,608,0.748201,,0.694915,
K00754,1700,0.47541,,0.519174,
K00756,1001,0.947917,,0.957746,
K00757,1742,0.946429,,0.888031,
K00758,1676,0.970359,,0.924731,
K00759,4598,0.965097,,0.936632,
K00760,3464,0.98606,,0.940895,
K00761,3186,0.980738,,0.952465,
K00762,4139,0.965475,,0.889353,
K00763,4176,0.96518,,0.899446,
K00764,3907,0.989039,,0.936073,
K00765,3493,0.97044,,0.881419,
K00765+K02502,33,0.833333,,,
K00766,4385,0.962243,,0.952622,
K00767,4183,0.993947,,0.939142,
K00768,2800,0.97989,,0.93462,
K00769,517,0.966184,,0.952941,
K00770,61,0.869565,,0.842105,
K00771,437,0.968944,,0.892857,
K00772,1645,0.949527,,0.897338,
K00773,2878,0.994671,,0.941642,
K00774,294,0.96,,0.819672,
K00775,72,1.0,,1.0,no negative
K00776,5,1.0,,1.0,no negative
K00777,429,0.981595,,0.943662,
K00778,188,0.929577,,0.717949,
K00779,191,0.985915,,0.916667,
K00780,165,0.6,,0.5625,
K00781,190,0.955224,,0.888889,
K00782,2318,0.909091,,0.770093,
K00783,2892,0.987698,,0.89441,
K00784,4196,0.792719,,0.765612,
K00785,66,0.761905,,0.666667,
K00786,137,0.793651,,0.857143,
K00787,1029,0.946292,,0.845426,
K00788,5653,0.955385,,0.911975,
K00789,4280,0.97619,,0.931232,
K00790,4009,0.985723,,0.960932,
K00791,6069,0.988353,,0.934336,
K00793,4723,0.977516,,0.926377,
K00794,4113,0.990291,,0.949631,
K00795,1603,0.888889,,0.885609,
K00796,5262,0.983779,,0.966752,
K00796+K00950+K01633,1,0.0,,,
K00797,3722,0.852162,,0.805286,
K00798,3335,0.960979,,0.919668,
K00799,26414,0.883573,,0.794207,
K00800,4749,0.983727,,0.946492,
K00801,832,0.910891,,0.822581,
K00802,298,0.931034,,0.896552,
K00803,1111,0.946667,,0.921283,
K00804,551,0.929293,,0.894118,
K00805,307,0.701299,,0.793103,
K00806,4476,0.970421,,0.908313,
K00807,210,0.961039,,0.892857,
K00808,230,0.989011,,0.866667,
K00809,1285,0.973631,,0.913706,
K00810,269,0.958333,,0.948718,
K00811,63,1.0,no negative,0.933333,
K00812,4153,0.858561,,0.797972,
K00813,523,0.851282,,0.736111,
